phase,policy,annualization_sessions,annualized_net_volatility,cost_bps,cost_convention,gross_cumulative_return,holding_intervals,initial_holdings,kind,maximum_net_drawdown,mean_concentration_hhi,net_cumulative_return,slippage_bps,terminal_liquidation,turnover_l1,zero_rate_sharpe
validation,historical_only/direct,252,0.3555413862226242,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.36033567391683086,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10219756381268397,0.17334746508729298,0.35353635961426644,5.0,False,3.339674492901049,2.7643769585361766
validation,historical_only/floor_0,252,0.4315448353396031,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.4708123821784296,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12519879162644443,0.4555222658139395,0.4604277716674292,5.0,False,4.721013238422973,2.8811243731167946
validation,historical_only/risk_1,252,0.41882625863423706,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.6476329405958492,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.1022156823459468,0.2225659537306799,0.6418350186764361,5.0,False,2.3495312145799487,3.8095987992054603
validation,historical_only/risk_10,252,0.28115769589047207,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.21005388359291577,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.09738821114789009,0.16734778685257426,0.20604150339560534,5.0,False,2.2137439629008115,2.1635330880374815
validation,no_holidays/blend_025,252,0.2497705387981257,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.08203631101544118,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10662676383153047,0.2290814979733508,0.07100699704751579,5.0,False,6.826251660642439,0.9574560984448489
validation,no_holidays/cap_020,252,0.25436329519193346,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.13235944296060143,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.11385474550899166,0.1252166909878326,0.12140083444753169,5.0,False,6.48100082262704,1.4939163017102493
validation,no_holidays/diagonal_025,252,0.24803812069480086,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.05789413585042191,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12513972789913563,0.22465663449229667,0.04881300997719351,5.0,False,5.74436389104504,0.7059866718246154
validation,no_holidays/direct,252,0.24796213142554943,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.05606777745065661,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12654191163510486,0.22504970395239565,0.04713202320529408,5.0,False,5.661821642833635,0.6864800850123159
validation,no_holidays/floor_0,252,0.35490557503207437,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,-0.03614858077688132,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.21348135925067913,0.9699244365221953,-0.055865888095795735,5.0,False,13.760336318813014,-0.31619493424784645
validation,no_holidays/risk_1,252,0.2479120642749334,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.054745934128434204,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12755693606725393,0.2253997154932216,0.04591517651121846,5.0,False,5.6020443577409464,0.6723239971694646
