phase,model,ticker,actual_zero_count,count,directional_accuracy,last_price_mae,prediction_zero_count,price_mae,price_rmse,relative_price_mae,return_mae
validation,no_holidays,NVDA,0,17,0.35294117647058826,3.5698098575367645,0,13.135091027284519,15.954403714707349,3.6794931807230697,0.06534298500555633
validation,no_holidays,PLTR,0,17,0.4117647058823529,4.089414259966682,0,8.525237553355886,10.900553263673224,2.0847087165547626,0.060870592920990466
validation,no_holidays,TSLA,0,17,0.35294117647058826,6.14117431640625,0,22.98982680966359,27.08884740796987,3.743555487139631,0.05822051683098142
validation,no_holidays,TSM,0,17,0.5882352941176471,7.895055434283088,0,14.34637621604268,17.013883664372432,1.8171343235597441,0.03808750643798381
validation,reference,AAPL,0,17,0.47058823529411764,3.9564927045036766,0,8.167001069230137,11.711242238113469,2.064202231419165,0.028742465542707162
validation,reference,AMD,0,17,0.47058823529411764,9.088239781996784,0,59.39153771280906,73.58943050498456,6.534987977590541,0.1612248743895235
validation,reference,AMZN,0,17,0.23529411764705882,4.158822452320772,0,19.715617736377286,22.582161327321526,4.740673102160268,0.08290550250134704
validation,reference,GOOG,0,17,0.47058823529411764,4.684069465188419,0,16.89205243683104,20.927824570777506,3.6062770978037895,0.04927678333223466
validation,reference,JPM,0,17,0.5294117647058824,2.6696238798253678,0,8.427222198205568,11.074808672519136,3.156707677771009,0.027326577586254654
validation,reference,META,0,17,0.35294117647058826,12.348097857306986,0,42.91383103854173,51.07411235302305,3.4753394032383276,0.06984355731847236
validation,reference,MSFT,0,17,0.17647058823529413,5.748484892003677,0,24.179678880206165,28.973158923945356,4.2062698840595125,0.061119084940920144
validation,reference,NFLX,0,17,0.4117647058823529,1.244116839240579,0,11.053284911356661,12.087057399324987,8.884442813348377,0.12285845973090241
validation,reference,NVDA,0,17,0.29411764705882354,3.5698098575367645,0,13.22817618199843,15.938766813784019,3.705568842573066,0.06576187829238221
validation,reference,PLTR,0,17,0.4117647058823529,4.089414259966682,0,8.623250977986107,11.1062992267436,2.108676311520556,0.061466976544963046
validation,reference,TSLA,0,17,0.35294117647058826,6.14117431640625,0,22.655588254953148,26.75127513567912,3.6891296497525508,0.0573224000208691
validation,reference,TSM,0,17,0.5882352941176471,7.895055434283088,0,14.180016779801505,16.94389872571252,1.7960629786368465,0.03766920283480364
validation,rigid_trend,AAPL,0,17,0.5294117647058824,3.9564927045036766,0,11.93750697831287,15.399113443411174,3.0171942348647334,0.041675625980329443
validation,rigid_trend,AMD,0,17,0.5294117647058824,9.088239781996784,0,76.10637793790943,91.48671592414459,8.374160427486878,0.20337011985743345
validation,rigid_trend,AMZN,0,17,0.5294117647058824,4.158822452320772,0,17.677343981838956,20.897725836817912,4.250564717417634,0.07227690613473052
validation,rigid_trend,GOOG,0,17,0.5294117647058824,4.684069465188419,0,20.72188791520049,23.95062275091478,4.423907046896654,0.06360689376451051
validation,rigid_trend,JPM,0,17,0.5882352941176471,2.6696238798253678,0,11.550635574137713,12.976359695520225,4.326690235814527,0.03840514100210907
validation,rigid_trend,META,0,17,0.7058823529411765,12.348097857306986,0,36.93758589854926,47.06855978745331,2.9913583715804006,0.06123828549666331
validation,rigid_trend,MSFT,0,17,0.4117647058823529,5.748484892003677,0,26.096910662714038,31.042164543063855,4.539789379809567,0.06717051428674976
validation,rigid_trend,NFLX,0,17,0.47058823529411764,1.244116839240579,0,8.989743701147418,10.984911636944648,7.225803411386059,0.09822291943775074
validation,rigid_trend,NVDA,0,17,0.5294117647058824,3.5698098575367645,0,12.409638081036633,15.354717326916917,3.4762742488473926,0.06171524626790766
validation,rigid_trend,PLTR,0,17,0.4117647058823529,4.089414259966682,0,8.415312940156404,10.354155492507722,2.057828433411138,0.06261104812659637
validation,rigid_trend,TSLA,0,17,0.29411764705882354,6.14117431640625,0,15.851355739241573,19.307741570000402,2.581160364866115,0.040678584426080515
validation,rigid_trend,TSM,0,17,0.5294117647058824,7.895055434283088,0,14.177851268794457,17.059220498505223,1.795788691644808,0.03700239444122794
validation,weekly_only,AAPL,0,17,0.47058823529411764,3.9564927045036766,0,17.00969411342755,19.723032249647318,4.299185006474398,0.060491977660655394
validation,weekly_only,AMD,0,17,0.47058823529411764,9.088239781996784,0,83.00629682277741,100.51231889784026,9.133374428259202,0.21933073644712558
validation,weekly_only,AMZN,0,17,0.5882352941176471,4.158822452320772,0,19.40205077886297,22.981046159657666,4.665275087191071,0.07905372042067453
validation,weekly_only,GOOG,0,17,0.6470588235294118,4.684069465188419,0,27.821009536304242,32.81048152199009,5.939495505578529,0.08510077773658338
validation,weekly_only,JPM,0,17,0.7058823529411765,2.6696238798253678,0,12.689911615754799,15.520757197548702,4.753445499065922,0.04173014458261097
validation,weekly_only,META,0,17,0.6470588235294118,12.348097857306986,0,30.7272646356901,38.58140709263212,2.48842088804044,0.0506178398141526
validation,weekly_only,MSFT,0,17,0.7058823529411765,5.748484892003677,0,26.43705799276723,32.22372828301219,4.598961028764641,0.06489099622635987
